MATCH_ID,MAP,TOURNAMENT,TEAM,SIDE,SCORE,RESULT,DURATION,HERO_1,HERO_2,HERO_3,HERO_4,HERO_5
33,1,ESL One Stockholm 2022,Evil Geniuses,radiant,9,LOSE,31:23,Medusa,Shadow Shaman,Abaddon,Timbersaw,Storm Spirit
33,1,ESL One Stockholm 2022,T1,dire,30,WIN,31:23,Nature's Prophet,Treant Protector,Void Spirit,Dragon Knight,Grimstroke
33,2,ESL One Stockholm 2022,Evil Geniuses,dire,25,LOSE,48:23,Naga Siren,Kunkka,Snapfire,Tiny,Viper
33,2,ESL One Stockholm 2022,T1,radiant,28,WIN,48:23,Vengeful Spirit,Windranger,Treant Protector,Lina,Pugna
34,1,ESL One Stockholm 2022,Evil Geniuses,radiant,8,LOSE,33:02,Sand King,Jakiro,Nature's Prophet,Terrorblade,Storm Spirit
34,1,ESL One Stockholm 2022,Tundra Esports,dire,33,WIN,33:02,Wraith King,Void Spirit,Visage,Doom,Grimstroke
34,2,ESL One Stockholm 2022,Evil Geniuses,dire,20,LOSE,44:53,Tidehunter,Bloodseeker,Tiny,Storm Spirit,Enchantress
34,2,ESL One Stockholm 2022,Tundra Esports,radiant,32,WIN,44:53,Dragon Knight,Hoodwink,Beastmaster,Pangolier,Pugna
35,1,ESL One Stockholm 2022,OG,dire,28,LOSE,43:07,Slardar,Chaos Knight,Io,Grimstroke,Storm Spirit
35,1,ESL One Stockholm 2022,T1,radiant,34,WIN,43:07,Brewmaster,Undying,Shadow Shaman,Lina,Dragon Knight
35,2,ESL One Stockholm 2022,OG,radiant,17,LOSE,34:40,Templar Assassin,Phoenix,Clockwerk,Mars,Storm Spirit
35,2,ESL One Stockholm 2022,T1,dire,35,WIN,34:40,Viper,Lifestealer,Puck,Treant Protector,Shadow Shaman
36,1,ESL One Stockholm 2022,OG,radiant,7,LOSE,25:55,Treant Protector,Leshrac,Io,Viper,Dragon Knight
36,1,ESL One Stockholm 2022,Tundra Esports,dire,24,WIN,25:55,Keeper of the Light,Juggernaut,Doom,Grimstroke,Visage
36,2,ESL One Stockholm 2022,OG,dire,16,LOSE,31:01,Nature's Prophet,Underlord,Clockwerk,Grimstroke,Tiny
36,2,ESL One Stockholm 2022,Tundra Esports,radiant,43,WIN,31:01,Phoenix,Wraith King,Pangolier,Visage,Pugna
37,1,ESL One Stockholm 2022,Fnatic,radiant,22,WIN,32:58,Magnus,Wraith King,Death Prophet,Treant Protector,Shadow Shaman
37,1,ESL One Stockholm 2022,Team Liquid,dire,9,LOSE,32:58,Troll Warlord,Visage,Doom,Tiny,Grimstroke
37,2,ESL One Stockholm 2022,Fnatic,radiant,9,LOSE,47:52,Pangolier,Magnus,Terrorblade,Abaddon,Shadow Shaman
37,2,ESL One Stockholm 2022,Team Liquid,dire,32,WIN,47:52,Keeper of the Light,Spectre,Undying,Hoodwink,Dragon Knight
38,1,ESL One Stockholm 2022,Fnatic,dire,44,WIN,44:11,Grimstroke,Lifestealer,Hoodwink,Dragon Knight,Keeper of the Light
38,1,ESL One Stockholm 2022,Team SoloMid,radiant,22,LOSE,44:11,Shadow Shaman,Monkey King,Viper,Phoenix,Mars
38,2,ESL One Stockholm 2022,Fnatic,radiant,15,WIN,49:48,Beastmaster,Tidehunter,Abaddon,Medusa,Shadow Shaman
38,2,ESL One Stockholm 2022,Team SoloMid,dire,16,LOSE,49:48,Lina,Razor,Nyx Assassin,Phoenix,Dragon Knight
39,1,ESL One Stockholm 2022,Fnatic,radiant,16,LOSE,32:11,Timbersaw,Chaos Knight,Winter Wyvern,Monkey King,Keeper of the Light
39,1,ESL One Stockholm 2022,Team Spirit,dire,32,WIN,32:11,Anti-Mage,Sand King,Kunkka,Io,Bane
39,2,ESL One Stockholm 2022,Fnatic,radiant,26,LOSE,43:33,Wraith King,Dragon Knight,Hoodwink,Pugna,Storm Spirit
39,2,ESL One Stockholm 2022,Team Spirit,dire,33,WIN,43:33,Troll Warlord,Grimstroke,Tiny,Keeper of the Light,Mars
40,1,ESL One Stockholm 2022,Gaimin Gladiators,radiant,22,LOSE,48:48,Broodmother,Hoodwink,Bloodseeker,Bane,Dragon Knight
40,1,ESL One Stockholm 2022,Team Liquid,dire,40,WIN,48:48,Sand King,Enigma,Clockwerk,Razor,Io
40,2,ESL One Stockholm 2022,Gaimin Gladiators,radiant,10,LOSE,22:10,Phantom Assassin,Void Spirit,Bane,Lycan,Chen
